Curriculum,Human Developmental Sciences
Degree Plan,Human Developmental Sciences/ Revelle
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,19.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,LD MAJOR PREP 1,,,,,,4,,,1
14,LD MAJOR PREP 2,,,,,,4,,,1
15,LD MAJOR PREP 3,,,,,,4,,,2
16,LD MAJOR PREP 4,,,,,,4,,,2
17,LD MAJOR PREP 5,,,,,,4,,,3
18,LD MAJOR PREP 6,,,,,,4,,,3
1,HDS 1,HDS,1,,,,4,,,4
19,HDS CORE COURSE 1,,,,,,4,,,5
20,HDS CORE COURSE 2,,,,,,4,,,5
21,HDS CORE COURSE 3,,,,,,4,,,6
22,HDS CORE COURSE 4,,,,,,4,,,6
23,HDS DEVELOPMENT COURSE 1,,,,,,4,,,7
24,LD HDS STATISTICS,,,,,,4,,,7
25,HDS DEVELOPMENT COURSE 2,,,,,,4,,,8
26,HDS METHODS ELECTIVE,,,,,,4,,,8
27,HDS DEVELOPMENT COURSE 3,,,,,,4,,,9
2,HDS 181,HDS,181,1,,,6,,,9
3,HDS 191,HDS,191,1;2,,,6,,,10
28,HDS DEVELOPMENT COURSE 4,,,,,,4,,,10
29,HDS DEVELOPMENT COURSE 5,,,,,,4,,,11
4,HDS 150,HDS,150,2,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,MATH 10A,MATH,10A,,,,4,,,1
6,CHEM 11,CHEM,11,,,,4,,,1
7,MATH 10B,MATH,10B,5,,,4,,,2
8,HUM 1,HUM,1,,,,6,,,2
30,MATH GE,,,,,,4,,,3
9,HUM 2,HUM,2,,,,6,,,3
10,HUM 3,HUM,3,8,,,4,,,4
31,NATURAL SCIENCE GE 1,,,,,,4,,,4
11,HUM 4,HUM,4,,,,4,,,5
32,PHYSICS GE,,,,,,4,,,5
12,HUM 5,HUM,5,,,,4,,,6
33,NATURAL SCIENCE GE 2,,,,,,4,,,6
34,LANGUAGE 1,,,,,,5,,,7
35,BIOLOGY GE,,,,,,4,,,8
36,LANGUAGE 2,,,,,,5,,,8
37,LANGUAGE 3,,,,,,5,,,9
38,LANGUAGE 4,,,,,,5,,,10
39,FINE ARTS,,,,,,4,,,11
40,UD ELECTIVE,,,,,,4,,,11
41,SOCIAL SCIENCE / DEI,,,,,,4,,,12
42,ELECTIVE,,,,,,4,,,12
